id,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1002,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/26/1c336005-e43a-4883-b95c-5d8deda3b915-1661501449066-21a2983162ac4a9750f5497839bb89b3.jpg,Lia Homestay Syariah Pettarani Makassar,Hotel,Rappocini Makassar,Jl. Pelita Raya No. 9A Bua Kana. Kecamatan. Rappocini. Kota Makassar. Sulawesi Selatan 90222,Belum ada rating,212945,212945,-5.14944,119.435999
1003,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/14/2e97a3ec-8eec-41fb-a379-60d27e8fb4d5-1639466136332-5f41ddb4a99ec7f0fe108278444cf8e6.jpg,Hotel Remaja Indah Masamba RedPartner,Hotel,Sabbang Luwu Utara,Jl. Pajorra No. 7 Masamba. Luwu Utara South Sulawesi 92961. Indonesia,Belum ada rating,73051,722358,-2.557393,120.327651
1004,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/07/28/c145719c-9d13-4a59-8606-273c75e60f5c-1658991335361-71acb71184511f78b3974a1dc8939ff7.jpg,Urbanview Hotel Platinum Parepare,Guest House,Soreang Parepare,Jl. Industri Kecil No.103. Bukit Indah. Kec. Soreang. Kota Parepare. Sulawesi Selatan 91131. Indonesia,Belum ada rating,286656,286656,-4.002989,119.63903
1005,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/08/ea9aa6ee-95c5-4c0b-a423-fcb08e304d3b-1646730323381-01badca6b1cfe0fa50c89bdc335c6de6.jpg,Home Stay Mulyawan Syariah Sengkang,Hotel,Tempe Wajo,Jalan Lembu Tempe. Sengkang Pitumpanua. 90911 Wajo. Indonesia,Belum ada rating,167604,296800,-4.118089,120.026655
1006,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/12/0f50ddc9-8e7a-4178-b3b8-c7465f799209-1639299026491-b1fe16ee4d52764d1ce0660abce0fca2.jpg,Yulia 2 Homestay,Guest House,Denpasar,Jalan Pantai Karang No 1 Sanur,Belum ada rating,199500,332500,-6.256760120391846,118.01486206054688
1007,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/14/02f75e34-f2f4-4d6f-ab23-2cc7a2dde830-1647228925524-a4c1e52dcff062870e98bb62e9d9de03.jpg,Rumah Ogi Homestay,Homestay,Barru Barru,Perumahan Rachita 2. Jl. H. Lanakka. Kec. Barru. Kabupaten Barru. Sulawesi Selatan 90712,Belum ada rating,274767,374097,-4.410799,119.613898
1008,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/11/da7d4128-f9b7-49e5-a234-c39968a6afc0-1660187746517-6db6057e05ab1a0116d39808f5ad3672.jpg,Homestay Danesti Syariah Near Bandara Sultan Hasanuddin,Hotel,Biring Kanaya Makassar,34. BTN Tirasa Pratama Indah. Sudiang. Biringkanaya. Makassar. Sulawesi Selatan 90552. Indonesia,4.3,148657,157730,-5.083364,119.537199
1009,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/02/99290895-7af2-4958-84dc-0677a46ba09d-1654145119474-87b5f51baf123827af2c4906b5df78e1.jpg,Hotel Mario Pulana Bone,Hotel,Tanete Riattang Barat Bone,Jl. Kawerang No.16. Manurunge. Kec. Tanete Riattang. Kabupaten Bone. Sulawesi Selatan 92712. Indonesia,Belum ada rating,204623,291034,-4.541093,120.329866
1010,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/06/02/99290895-7af2-4958-84dc-0677a46ba09d-1654145119474-87b5f51baf123827af2c4906b5df78e1.jpg,Hotel Mario Pulana Bone,Hotel,Tanete Riattang Barat Bone,Jl. Kawerang No.16. Manurunge. Kec. Tanete Riattang. Kabupaten Bone. Sulawesi Selatan 92712. Indonesia,Belum ada rating,204623,291034,-4.541093,120.329866
1011,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/15/5c1909a9-e2e6-4925-91b4-28bda163cae3-1636931489420-a40390a1c0ac876080af118836213486.jpg,Hotel Yasmin Makassar,Hotel,Rappocini Makassar,Jl. Jampea No.5. Pattunuang. Kec,Belum ada rating,125258,470399,-5.175,119.45239
